state,state_slug,name,city,state_abbr,suggested_city,zip,phone,external_link,logo,legacy_url,address_block
Kentucky,kentucky,OHIO COUNTY PAIN CARE,Hartford,KY,,42347,270-298-5445,https://ochcares.com/Pain,https://painmgmtgroup.com/wp-content/uploads/2022/12/ohiocounty_logo2.jpg,/em_portfolios/ohio-county-pain-care/,"OHIO COUNTY PAIN CARE OHIO COUNTY PAIN CARE Ohio County Hospital 1215 Old Main Street Hartford, KY 42347 P: 270-298-5445 F: 270-298-5263"
Kentucky,kentucky,TWIN LAKES PAIN MANAGEMENT CENTER,Leitchfield,KY,,42754,270-259-9405,https://www.tlrmc.com/,https://painmgmtgroup.com/wp-content/uploads/2022/12/twin_lakes_logo.png,/em_portfolios/twin-lakes-pain-management-center/,"TWIN LAKES PAIN MANAGEMENT CENTER TWIN LAKES PAIN MANAGEMENT CENTER Twin Lakes Regional Medical Center Kelley Medical Building 908 Wallace Ave. Leitchfield, KY 42754 P: 270-259-9405 F: 270-230-8655"
Maine,maine,Houlton Regional Hospital,,,"Houlton, ME",,,https://houltonregional.org/,https://painmgmtgroup.com/wp-content/uploads/2025/10/HRHmaine.jpg,/em_portfolios/houlton-regional-hospital/,Houlton Regional Hospital
Maine,maine,Northern Maine Medical Center,,,"Fort Kent, ME",,,https://nmmc.org/services/outpatient/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2025/10/NMMC-logo.jpg,/em_portfolios/northern-maine-medical-center/,Northern Maine Medical Center
Michigan,michigan,Allegan Pain Management Center,Allegan,MI,,49010,269-686-4300,https://locations.beaconhealthsystem.org/mi/allegan/beacon-allegan-pain-mangement-center,https://painmgmtgroup.com/wp-content/uploads/2022/12/beaconNew.jpg,/em_portfolios/allegan-pain-management-center/,"Allegan Pain Management Center Ascension Borgess Allegan 570 Linn St. Ste. 2 Allegan, MI 49010 P: 269-686-4300 F: 269-686-4328"
Michigan,michigan,MEMORIAL PAIN CLINIC,Owosso,MI,,48867,989-729-4190,https://www.memorialhealthcare.org/location/memorial-healthcare-pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/mem_owosso_logo.png,/em_portfolios/memorial-pain-clinic/,"MEMORIAL PAIN CLINIC MEMORIAL PAIN CLINIC King Street Professional Building 818 West King Street Suite 300 Owosso, MI 48867 P: 989-729-4190 F: 989-729-4971"
Michigan,michigan,SPINE AND PAIN PROGRAM AT MYMICHIGAN MEDICAL CENTER,West Branch,MI,,48661,989-343-3730,https://www.mymichigan.org/conditions-treatments/pain-management/outpatient-pain-management-programs/spine-and-pain-program/,https://painmgmtgroup.com/wp-content/uploads/2022/12/MyMichigan_logo3.jpg,/em_portfolios/spine-and-pain-program-at-mymichigan-medical-center-west-branch/,"SPINE AND PAIN PROGRAM AT MYMICHIGAN MEDICAL CENTER SPINE AND PAIN PROGRAM AT MYMICHIGAN MEDICAL CENTER – WEST BRANCH MyMichigan Medical Center – West Branch 335 E Houghton Avenue West Branch, MI 48661 P: 989-343-3730 F: 989-343-3733"
North Carolina,north-carolina,Columbus Regional,,,"Whiteville, NC",,,https://crhealthcare.org/services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2025/10/Columbus-Regional-Logosite.jpg,/em_portfolios/columbus-regional/,Columbus Regional
Ohio,ohio,ACRMC Restorative Pain Care,Seaman,OH,,45679,937-386-3099,https://acrmc.com/restorative-pain-care/,https://painmgmtgroup.com/wp-content/uploads/2023/09/acrmc_logo.png,/em_portfolios/acrmc-restorative-pain-care/,"ACRMC Restorative Pain Care Adams County Regional Medical Center 230 Medical Center Dr. Seaman, OH 45679 P: 937-386-3099 F: 937-386-3088"
Ohio,ohio,Avita Pain Management,Galion,OH,,44833,419-462-4547,https://avitahealth.org/services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/avita_logo2.png,/em_portfolios/avita-pain-management-center-galion/,"Avita Pain Management Galion Community Hospital 269 Portland Way S. Galion, OH 44833 P: 419-462-4547 F: 419-462-4548"
Ohio,ohio,Blanchard Valley Pain Management Centers,Findlay,OH,,45840,419-423-5555,https://www.bvhealthsystem.org/services/pain-management/pain-management,https://painmgmtgroup.com/wp-content/uploads/2022/12/bvhs_logo.png,/em_portfolios/blanchard-valley-pain-management-center-findlay/,"Blanchard Valley Pain Management Centers Blanchard Valley Hospital 1900 S Main St. Findlay, OH 45840 P: 419-423-5555 F: 419-423-5538"
Ohio,ohio,Clinton Pain Management Center,Wilmington,OH,,45177,937-283-2580,https://www.cmhregional.com/pain-management,https://painmgmtgroup.com/wp-content/uploads/2022/12/clinton_logo.png,/em_portfolios/clinton-pain-management-center/,"Clinton Pain Management Center CLINTON PAIN MANAGEMENT CENTER Clinton Memorial 630 W. Main Street Suite 102 Wilmington, OH 45177 P: 937-283-2580 F: 937-283-2584"
Ohio,ohio,Crystal Clinic Pain Management Center,Akron,OH,,44333,330-668-6789,https://www.crystalclinic.com/services/pain-management,https://painmgmtgroup.com/wp-content/uploads/2022/12/crystal_logo.png,/em_portfolios/crystal-clinic-pain-management-center/,"Crystal Clinic Pain Management Center CRYSTAL CLINIC PAIN MANAGEMENT Crystal Clinic Orthopaedic Center Hospital 3975 Embassy Parkway Akron, OH 44333 P: 330-668-6789 F: 330-668-6789"
Ohio,ohio,Fisher-Titus Pain Management Centers,Norwalk,OH,,44857,419-660-6901,https://www.fishertitus.org/medical-services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/ftmc_logo.png,/em_portfolios/fisher-titus-pain-management-center-sandusky/,"Fisher-Titus Pain Management Centers Fisher Titus Medical Center 272 Benedict Ave Norwalk, OH 44857 P: 419-660-6901 F: 419-660-2796"
Ohio,ohio,Grand Lake PAIN MANAGEMENT CENTER,St. Marys,OH,,45885,419-394-9520,https://grandlakehealth.org/services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/jointtownship_logo.png,/em_portfolios/new-day-pain-management-center/,"Grand Lake PAIN MANAGEMENT CENTER NEW DAY PAIN MANAGEMENT CENTER 1165 S. Knoxville Ave. Suite 105 St. Marys, OH 45885 P: 419-394-9520 F: 419-394-9598"
Ohio,ohio,Henry County Pain Management Center,Napoleon,OH,,43545,419-591-3859,https://www.henrycountyhospital.org/our-services/pain-management-center/,https://painmgmtgroup.com/wp-content/uploads/2022/12/henry_logo.png,/em_portfolios/henry-county-pain-management-center/,"Henry County Pain Management Center HENRY COUNTY PAIN MANAGEMENT CENTER Henry County Hospital 1600 E. Riverview Ave. Napoleon, OH 43545 P: 419-591-3859 F: 419-591-3879"
Ohio,ohio,Knox Center for Pain Management,Mt. Vernon,OH,,43050,740-393-9866,https://www.kch.org/center-pain-management,https://painmgmtgroup.com/wp-content/uploads/2022/12/knox_logo2.png,/em_portfolios/knox-center-for-pain-management/,"Knox Center for Pain Management KNOX CENTER FOR PAIN MANAGEMENT Knox Community Hospital 1330 Coshocton Ave. Mt. Vernon, OH 43050 P: 740-393-9866 F: 740-399-3194"
Ohio,ohio,MADISON HEALTH PAIN MANAGEMENT,London,OH,,43140,740-845-7660,http://www.madison-health.com/painmanagement.php,https://painmgmtgroup.com/wp-content/uploads/2022/12/madison.png,/em_portfolios/madison-health-pain-management/,"MADISON HEALTH PAIN MANAGEMENT MADISON HEALTH PAIN MANAGEMENT Madison Health 210 N. Main Street London, OH 43140 P: 740-845-7660 F: 740-845-7661"
Ohio,ohio,MAGRUDER PAIN MANAGEMENT CENTER,Port Clinton,OH,,43452,419-732-3972,https://www.magruderhospital.com/,https://painmgmtgroup.com/wp-content/uploads/2022/12/magruder_logo.png,/em_portfolios/magruder-pain-management-center/,"MAGRUDER PAIN MANAGEMENT CENTER MAGRUDER PAIN MANAGEMENT CENTER Magruder Hospital 615 Fulton St. Ste. D Port Clinton, OH 43452 P: 419-732-3972 F: 419-734-2890"
Ohio,ohio,MEMORIAL PAIN SOLUTIONS,Marysville,OH,,43040,937-578-4580,https://memorialohio.com/services/pain-solutions/,https://painmgmtgroup.com/wp-content/uploads/2022/12/memorial_logo.png,/em_portfolios/memorial-pain-solutions/,"MEMORIAL PAIN SOLUTIONS MEMORIAL PAIN SOLUTIONS Memorial Allen Family Medical Center 660 London Ave. Marysville, OH 43040 P: 937-578-4580 F: 937-578-4585"
Ohio,ohio,Parkview Pain Management Clinic,Bryan,OH,,43506,419-633-7343,https://www.parkview.com/locations/pain-management-clinic-at-parkview-bryan-hospital,https://painmgmtgroup.com/wp-content/uploads/2022/12/parkview_square.png,/em_portfolios/community-hospitals-wellness-centers-pain-management-center/,"Parkview Pain Management Clinic PARKVIEW PAIN MANAGEMENT CENTER Parkview MCHA Building 433 W. High St. Bryan, OH 43506 P: 419-633-7343 F: 419-633-7348"
Ohio,ohio,PAULDING COUNTY PAIN MANAGEMENT,Paulding,OH,,45879,419-399-1136,https://pauldingcountyhospital.com/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/paulding_logo.png,/em_portfolios/paulding-county-pain-management/,"PAULDING COUNTY PAIN MANAGEMENT PAULDING COUNTY PAIN MANAGEMENT Paulding County Hospital 1035 West Wayne Street Paulding, OH 45879 45879 P: 419-399-1136 F: 419-399-1748"
Ohio,ohio,Southeastern Pain Management,,,"Cambridge, OH",,,https://www.ohiohealth.com/locations/hospitals/southeastern-medical-center,https://painmgmtgroup.com/wp-content/uploads/2023/09/southeastern_logo.png,/em_portfolios/southeastern-pain-management/,Southeastern Pain Management Southeastern Pain Management
Ohio,ohio,UH SAMARITAN PAIN CLINIC,Ashland,OH,,44805,419-207-2721,https://www.uhhospitals.org/locations/uh-samaritan-medical-center/services/pain-clinic,https://painmgmtgroup.com/wp-content/uploads/2022/12/samaritan_logo.png,/em_portfolios/uh-samaritan-pain-clinic/,"UH SAMARITAN PAIN CLINIC UH SAMARITAN PAIN CLINIC UH Samaritan Hospital 350 Hillcrest Dr. Ashland, OH 44805 P: 419-207-2721 F: 419-207-2659"
Ohio,ohio,VAN WERT COUNTY PAIN MANAGEMENT CENTER,Van Wert,OH,,45891,419-232-6060,https://www.ohiohealth.com/locations/hospitals/van-wert-hospital/physician-practices,https://painmgmtgroup.com/wp-content/uploads/2022/12/vanwert_logo2.jpg,/em_portfolios/van-wert-county-pain-management-center/,"VAN WERT COUNTY PAIN MANAGEMENT CENTER VAN WERT COUNTY PAIN MANAGEMENT CENTER Van Wert County Hospital Health Center 140 Fox Road, Suite 103 Van Wert, OH 45891 P: 419-232-6060 F: 419-232-6061"
Ohio,ohio,WAYNE HEALTH PAIN MANAGEMENT,Greenville,OH,,45331,937-569-7246,https://www.waynehealthcare.org/our-services/pain-management/,https://painmgmtgroup.com/wp-content/uploads/2022/12/wayne_logo.png,/em_portfolios/wayne-health-pain-management/,"WAYNE HEALTH PAIN MANAGEMENT WAYNE HEALTH PAIN MANAGEMENT Wayne Healthcare 835 Sweitzer St Greenville, OH 45331 P: 937-569-7246 F: 937-569-7247"
Pennsylvania,pennsylvania,Edgewood Pain Management Center,Transfer,PA,,16154,724-646-7246,https://edgewoodsurgical.com/pain-management-2/,https://painmgmtgroup.com/wp-content/uploads/2022/12/edgewood_logo.png,/em_portfolios/edgewood-pain-management-center/,"Edgewood Pain Management Center EDGEWOOD PAIN MANAGEMENT CENTER Edgewood Surgical Hospital 239 Edgewood Dr. Ext Transfer, PA 16154 P: 724-646-7246 F: 724-646-0351"
Tennessee,tennessee,Hardin Medical Center,,,"Savannah, TN",,,https://www.hardinmedicalcenter.org/services,https://painmgmtgroup.com/wp-content/uploads/2024/12/hmc_web_logo.jpg,/em_portfolios/hardin-medical-center/,Hardin Medical Center
Tennessee,tennessee,RHEA PAIN MANAGEMENT CENTER,Dayton,TN,,37321,423-285-5220,https://rheamedical.org/services/pain-management-center/,https://painmgmtgroup.com/wp-content/uploads/2022/12/rhea_logo.png,/em_portfolios/rhea-pain-management-center/,"RHEA PAIN MANAGEMENT CENTER RHEA PAIN MANAGEMENT CENTER Rhea Medical Center 9400 Rhea County Hwy Dayton, TN 37321 P: 423-285-5220"
Wisconsin,wisconsin,Edgerton Hospital Pain & Spine Center,Edgerton,WI,,53534,608-561-6641,https://www.edgertonhospital.com/our-services/pain-spine-center/,https://painmgmtgroup.com/wp-content/uploads/2022/12/edgerton_logo.png,/em_portfolios/edgerton-hospital-pain-spine-center/,"Edgerton Hospital Pain & Spine Center EDGERTON HOSPITAL PAIN & SPINE CENTER 11101 North Sherman Road Edgerton, WI 53534 P: 608-561-6641"
