category,title,slug,url,status,viewmedica,hub_title,note
Procedures,Mild® Procedure (Vertos Medical),mild-procedure-vertos-medical,https://painmgmtgroup.com/pain-education/mild-procedure-vertos-medical/,200,ondemand.viewmedica.com/7704/open/A_6046c9ab,Mild Procedure (Vertos Medical),
Procedures,Radiofrequency Ablation (RFA) for Pain,radiofrequency-ablation-rfa-for-pain,https://painmgmtgroup.com/pain-education/radiofrequency-ablation-rfa-for-pain/,200,ondemand.viewmedica.com/7704/open/A_5b258471,Radiofrequency Ablation (RFA) for Pain,
Procedures,Radiofrequency Neurotomy of the Lumbar Facets,radiofrequency-neurotomy-of-the-lumbar-facets,https://painmgmtgroup.com/pain-education/radiofrequency-neurotomy-of-the-lumbar-facets/,200,ondemand.viewmedica.com/7704/open/A_eb20c472,Radiofrequency Neurotomy of the Lumbar Facets (RFA),
Procedures,Radiofrequency Neurotomy of the Thoracic Facets,radiofrequency-neurotomy-of-the-thoracic-facets,https://painmgmtgroup.com/pain-education/radiofrequency-neurotomy-of-the-thoracic-facets/,200,ondemand.viewmedica.com/7704/open/A_48582b8c,Radiofrequency Neurotomy of the Thoracic Facets (RFA),
Procedures,Sacroiliac Joint Steroid Injection,sacroiliac-joint-steroid-injection,https://painmgmtgroup.com/pain-education/sacroiliac-joint-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_388f55c7,Sacroiliac Joint Steroid Injection,
Procedures,Steroid Injection for Shoulder Bursitis,soft-tissue-injection,https://painmgmtgroup.com/pain-education/soft-tissue-injection/,200,ondemand.viewmedica.com/7704/open/A_15764d86,Steroid Injection for Shoulder Bursitis,
Procedures,Spinal Cord Stimulator Implant,spinal-cord-stimulator-implant,https://painmgmtgroup.com/pain-education/spinal-cord-stimulator-implant/,200,ondemand.viewmedica.com/7704/open/A_c8d37826,Spinal Cord Stimulator Implant,
Procedures,Spinal Cord Stimulator Implant (Trial Procedure),spinal-cord-stimulator-implant-trial-procedure,https://painmgmtgroup.com/pain-education/spinal-cord-stimulator-implant-trial-procedure/,200,ondemand.viewmedica.com/7704/open/A_752e2052,Spinal Cord Stimulator Implant (Trial Procedure),
Procedures,Stellate Ganglion Block,stellate-ganglion-block,https://painmgmtgroup.com/pain-education/stellate-ganglion-block/,200,ondemand.viewmedica.com/7704/open/A_bb7df8d0,Stellate Ganglion Block,
Procedures,Thoracic Epidural Steroid Injection,thoracic-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/thoracic-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_55eef6db,Thoracic Epidural Steroid Injection,
Procedures,Thoracic Transforaminal Epidural Steroid Injection,thoracic-transforaminal-epidural-steroid-injection,https://painmgmtgroup.com/pain-education/thoracic-transforaminal-epidural-steroid-injection/,200,ondemand.viewmedica.com/7704/open/A_49981a97,Thoracic Transforaminal Epidural Steroid Injection,
Procedures,Trigger Point Injections,trigger-point-injections,https://painmgmtgroup.com/pain-education/trigger-point-injections/,200,ondemand.viewmedica.com/7704/open/A_591ce11c,Trigger Point Injections,
Procedures,Superion® InterSpinous Spacer (Vertiflex),superion-interspinous-spacer-vertiflex,https://painmgmtgroup.com/pain-education/superion-interspinous-spacer-vertiflex/,200,ondemand.viewmedica.com/7704/open/A_5861a26b,,"live and in sitemap, but not linked from the hub; category assigned by topic"
Medications,Opioid Misuse,opioid-misuse,https://painmgmtgroup.com/pain-education/opioid-misuse/,200,ondemand.viewmedica.com/7704/open/A_41dcd7df,Opioid Misuse,
Medications,Opioids and Chronic Pain Management,opioids-and-chronic-pain-management,https://painmgmtgroup.com/pain-education/opioids-and-chronic-pain-management/,200,ondemand.viewmedica.com/7704/open/A_d885dfd1,Opioids and Chronic Pain Management,
Medications,Side Effects of Long-Term Opioid Use,side-effects-of-long-term-opioid-use,https://painmgmtgroup.com/pain-education/side-effects-of-long-term-opioid-use/,200,ondemand.viewmedica.com/7704/open/A_cc3fa601,Side Effects of Long-Term Opioid Use,
Medications,Tapering Opioid Use Safely,tapering-opioid-use-safely,https://painmgmtgroup.com/pain-education/tapering-opioid-use-safely/,200,ondemand.viewmedica.com/7704/open/A_1e7239b3,Tapering Opioid Use Safely,
